Kernel: fc2 (fc2.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 -DK_LOOP_UNROLL=4 ... 2.043 ms / 2144 TFLOPS  (208 regs, 3.1s)
[2/3] (defaults) ... 1.656 ms / 2645 TFLOPS  (255 regs, 3.1s)
[3/3] -DN_STAGES=5 -DK_LOOP_UNROLL=4 ... 2.406 ms / 1820 TFLOPS  (217 regs, 3.0s)

Tier 1 winner (top-3): (defaults) → 1.656 ms / 2645 TFLOPS
  #2: -DN_STAGES=3 -DK_LOOP_UNROLL=4 → 2.043 ms / 2144 TFLOPS
  #3: -DN_STAGES=5 -DK_LOOP_UNROLL=4 → 2.406 ms / 1820 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
  Branch 1/3: (defaults)
Sweep: 128 total, 128 valid, 0 pruned
Estimated time: ~11 min (128 configs × ~5s each)

[110/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... 1.681 ms / 2606 TFLOPS  (255 regs, 3.2s)
[111/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=200 ... 1.678 ms / 2611 TFLOPS  (254 regs, 2.9s)
[112/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... 1.678 ms / 2611 TFLOPS  (255 regs, 3.2s)
[113/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 1.676 ms / 2614 TFLOPS  (254 regs, 3.1s)
[114/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... 1.684 ms / 2601 TFLOPS  (255 regs, 3.3s)
[115/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 1.677 ms / 2611 TFLOPS  (254 regs, 3.0s)
[116/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... 1.684 ms / 2600 TFLOPS  (255 regs, 3.2s)
[117/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 1.673 ms / 2618 TFLOPS  (254 regs, 3.0s)
[118/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... 1.685 ms / 2599 TFLOPS  (255 regs, 3.3s)
[119/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 ... 1.679 ms / 2609 TFLOPS  (254 regs, 3.0s)
