Kernel: patch_embed (patch_embed.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[32/128] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[33/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=0 ... 0.536 ms / 2044 TFLOPS  (205 regs, 3.0s)
[34/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[35/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40 ... 0.534 ms / 2052 TFLOPS  (206 regs, 3.0s)
[36/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[37/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=60 ... 0.533 ms / 2053 TFLOPS  (206 regs, 2.9s)
[38/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[39/128] -DINTERLEAVE_STRATEGY=1 ... 0.533 ms / 2055 TFLOPS  (206 regs, 3.0s)
[40/128] -DINTERLEAVE_STRATEGY=1 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[41/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100 ... 0.533 ms / 2055 TFLOPS  (206 regs, 3.0s)
[42/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[43/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120 ... 0.534 ms / 2049 TFLOPS  (206 regs, 3.0s)
