N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,0,32,120,4,1,1,6,0,3,1,0,0,0,222,0,193.0,0.53,2067.81,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,4,1,1,8,0,0,1,0,0,0,255,0,193.0,0.53,2066.5,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,4,1,1,8,4,0,1,0,0,0,255,0,193.0,0.53,2065.46,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,1,8,4,1,1,0,0,0,214,0,193.0,0.53,2066.34,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,1,8,0,3,1,0,0,0,255,0,193.0,0.53,2065.44,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,4,1,1,8,4,3,1,0,0,0,255,0,193.0,0.53,2066.8,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,1,1,32,120,2,1,1,4,0,0,1,0,0,0,208,0,193.0,0.531,2060.34,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120
4,4,1,1,32,160,2,1,1,4,0,0,1,0,0,0,208,0,193.0,0.531,2061.37,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,0,32,0,2,1,1,4,0,0,1,0,0,0,208,0,193.0,0.531,2062.99,OK,-DSTAGGER_CYCLES=0
4,4,2,1,32,0,2,1,1,4,0,0,1,0,0,0,209,0,193.0,0.531,2063.97,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=0
4,4,2,0,32,120,4,1,0,4,0,3,1,0,0,0,255,0,193.0,0.531,2062.14,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,4,1,0,6,4,1,1,0,0,0,214,0,193.0,0.531,2063.82,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,1,4,0,0,1,0,0,0,255,0,193.0,0.531,2061.98,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,4,1,1,4,4,0,1,0,0,0,255,0,193.0,0.531,2063.97,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,1,4,4,3,1,0,0,0,255,0,193.0,0.531,2061.23,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,1,6,4,3,1,0,0,0,222,0,193.0,0.531,2062.64,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,1,1,32,60,2,1,1,4,0,0,1,0,0,0,208,0,193.0,0.532,2058.26,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60
4,4,1,1,32,200,2,1,1,4,0,0,1,0,0,0,208,0,193.0,0.532,2057.21,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200
4,4,2,0,32,120,4,1,0,4,4,3,1,0,0,0,255,0,193.0,0.532,2059.96,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,1,4,4,1,1,0,0,0,214,0,193.0,0.532,2058.99,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,1,0,32,60,2,1,1,4,0,0,1,0,0,0,206,0,193.0,0.533,2053.1,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=60
4,4,1,0,32,80,2,1,1,4,0,0,1,0,0,0,206,0,193.0,0.533,2055.13,OK,-DINTERLEAVE_STRATEGY=1
4,4,1,0,32,100,2,1,1,4,0,0,1,0,0,0,206,0,193.0,0.533,2055.21,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100
4,4,1,0,32,160,2,1,1,4,0,0,1,0,0,0,206,0,193.0,0.533,2053.24,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=160
4,4,1,1,32,40,2,1,1,4,0,0,1,0,0,0,208,0,193.0,0.533,2053.32,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40
4,4,2,0,32,120,2,1,0,4,0,1,1,0,0,0,165,0,193.0,0.533,2055.59,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,2,1,0,4,4,1,1,0,0,0,165,0,193.0,0.533,2052.68,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
