
=== WALL TIME ===
label                                             ms    tflops  valid  regs  bars
fc1_rowmajor_p_strip                            0.715      1.00x      0.003          ?
fc1_ncycle_p_fused                              0.734      1.03x      5.650      0.99x
fc1_ncycle_p_gemm                               0.826      1.15x      5.640      0.99x
fc1_ncycle_p_strip                              0.715      1.00x      0.004          ?
fc1_nflat_p_fused                               0.719      1.00x      5.650      0.99x
fc1_nflat_p_gemm                                0.718      1.00x      5.650      0.99x
fc1_nflat_p_strip                               0.715      1.00x      0.004          ?
fc1_nsnake_p_fused                              0.738      1.03x      5.650      0.99x
fc1_nsnake_p_gemm                               0.826      1.15x      5.640      0.99x
fc1_nsnake_p_strip                              0.715      1.00x      0.003          ?
fc1_nlock_p_fused                               2.550      3.57x      5.650      0.99x
fc1_nlock_p_gemm                                1.560      2.18x      5.650      0.99x
fc1_nlock_p_strip                               0.892      1.25x      0.003          ?
fc1_checkered_p_fused                           1.100      1.54x      5.650      0.99x
fc1_checkered_p_gemm                            0.853      1.19x      5.660      0.99x
fc1_checkered_p_strip                           0.717      1.00x      0.004          ?
fc1_dgsnake_p_fused                             1.190      1.66x      5.650      0.99x
fc1_dgsnake_p_gemm                              0.848      1.19x      5.650      0.99x
fc1_dgsnake_p_strip                             0.716      1.00x      0.004          ?
fc1_kstagger_p_fused                            2.260      3.16x      5.650      0.99x
fc1_kstagger_p_gemm                             2.050      2.87x      5.660      0.99x
fc1_kstagger_p_strip                            0.824      1.15x      0.004          ?
fc1_dg4_p_fused                                 1.200      1.68x      5.650      0.99x
fc1_dg4_p_gemm                                  0.716      1.00x      5.640      0.99x
fc1_dg4_p_strip                                 0.715      1.00x      0.003          ?
fc1_dg6_p_fused                                 1.110      1.55x      5.650      0.99x
fc1_dg6_p_gemm                                  0.862      1.21x      5.650      0.99x
fc1_dg6_p_strip                                 0.715      1.00x      0.003          ?
fc1_dg10_p_fused                                1.140      1.59x      5.650      0.99x
fc1_dg10_p_gemm                                 0.828      1.16x      5.650      0.99x
fc1_dg10_p_strip                                0.715      1.00x      0.003          ?
fc1_dg12_p_fused                                1.090      1.52x      5.650      0.99x
fc1_dg12_p_gemm                                 0.828      1.16x      5.650      0.99x
fc1_dg12_p_strip                                0.715      1.00x      0.003          ?
fc1_dg16_p_fused                                1.170      1.64x      5.650      0.99x
fc1_dg16_p_gemm                                 0.805      1.13x      5.650      0.99x
