layer,approach,run,ms
fc1,cublas_per_tensor,8,4.318
fc1,cublas_per_tensor,9,4.318
fc1,cublas_per_tensor,10,4.318
fc1,cublas_per_tensor,11,4.318
fc1,cublas_per_tensor,12,4.318
fc1,cublas_per_tensor,13,4.318
fc1,cublas_per_tensor,14,4.318
fc1,cublas_per_tensor,15,4.318
fc1,cublas_per_tensor,16,4.318
fc1,cublas_per_tensor,17,4.318
fc1,cublas_per_tensor,18,4.318
fc1,cublas_per_tensor,19,4.318
fc1,cublas_gemm,0,1.359
fc1,cublas_gemm,1,1.359
fc1,cublas_gemm,2,1.359
fc1,cublas_gemm,3,1.359
fc1,cublas_gemm,4,1.359
fc1,cublas_gemm,5,1.358
fc1,cublas_gemm,6,1.359
fc1,cublas_gemm,7,1.359
fc1,cublas_gemm,8,1.359
fc1,cublas_gemm,9,1.359
fc1,cublas_gemm,10,1.359
fc1,cublas_gemm,11,1.358
fc1,cublas_gemm,12,1.359
fc1,cublas_gemm,13,1.359
fc1,cublas_gemm,14,1.359
fc1,cublas_gemm,15,1.359
fc1,cublas_gemm,16,1.359
fc1,cublas_gemm,17,1.359
fc1,cublas_gemm,18,1.359
fc1,cublas_gemm,19,1.359
fc1,cutlass_fused,0,2.317
fc1,cutlass_fused,1,2.318
fc1,cutlass_fused,2,2.317
fc1,cutlass_fused,3,2.317
fc1,cutlass_fused,4,2.318
fc1,cutlass_fused,5,2.317
fc1,cutlass_fused,6,2.317
fc1,cutlass_fused,7,2.317
fc1,cutlass_fused,8,2.317
fc1,cutlass_fused,9,2.317
fc1,cutlass_fused,10,2.317
fc1,cutlass_fused,11,2.317
fc1,cutlass_fused,12,2.317
fc1,cutlass_fused,13,2.317
fc1,cutlass_fused,14,2.317
fc1,cutlass_fused,15,2.317
fc1,cutlass_fused,16,2.318
fc1,cutlass_fused,17,2.317
fc1,cutlass_fused,18,2.317
fc1,cutlass_fused,19,2.317
fc1,cutlass_gemm,0,1.61
fc1,cutlass_gemm,1,1.608
fc1,cutlass_gemm,2,1.609
fc1,cutlass_gemm,3,1.609
fc1,cutlass_gemm,4,1.609
fc1,cutlass_gemm,5,1.607
fc1,cutlass_gemm,6,1.609
fc1,cutlass_gemm,7,1.608
fc1,cutlass_gemm,8,1.608
fc1,cutlass_gemm,9,1.608
fc1,cutlass_gemm,10,1.609
fc1,cutlass_gemm,11,1.608
fc1,cutlass_gemm,12,1.608
fc1,cutlass_gemm,13,1.609
fc1,cutlass_gemm,14,1.61
fc1,cutlass_gemm,15,1.607
fc1,cutlass_gemm,16,1.609
fc1,cutlass_gemm,17,1.608
fc1,cutlass_gemm,18,1.609
fc1,cutlass_gemm,19,1.609
fc2,our_kernel,0,1.512
fc2,our_kernel,1,1.51
fc2,our_kernel,2,1.513
fc2,our_kernel,3,1.515
fc2,our_kernel,4,1.516
fc2,our_kernel,5,1.517
fc2,our_kernel,6,1.512
fc2,our_kernel,7,1.513
fc2,our_kernel,8,1.517
fc2,our_kernel,9,1.512
fc2,our_kernel,10,1.513
fc2,our_kernel,11,1.512
fc2,our_kernel,12,1.512
fc2,our_kernel,13,1.513
fc2,our_kernel,14,1.515
fc2,our_kernel,15,1.512
fc2,our_kernel,16,1.516
fc2,our_kernel,17,1.508
fc2,our_kernel,18,1.513
fc2,our_kernel,19,1.512
fc2,cublas_mxfp8,0,1.554
fc2,cublas_mxfp8,1,1.541
fc2,cublas_mxfp8,2,1.561
fc2,cublas_mxfp8,3,1.561
fc2,cublas_mxfp8,4,1.56
fc2,cublas_mxfp8,5,1.558
fc2,cublas_mxfp8,6,1.573
fc2,cublas_mxfp8,7,1.569
fc2,cublas_mxfp8,8,1.573
fc2,cublas_mxfp8,9,1.552
fc2,cublas_mxfp8,10,1.576
fc2,cublas_mxfp8,11,1.571
fc2,cublas_mxfp8,12,1.56
fc2,cublas_mxfp8,13,1.564
fc2,cublas_mxfp8,14,1.57
fc2,cublas_mxfp8,15,1.548
fc2,cublas_mxfp8,16,1.542
fc2,cublas_mxfp8,17,1.564
fc2,cublas_mxfp8,18,1.56
fc2,cublas_mxfp8,19,1.56
fc2,cublas_per_tensor,0,1.526
fc2,cublas_per_tensor,1,1.509
fc2,cublas_per_tensor,2,1.505
fc2,cublas_per_tensor,3,1.512
fc2,cublas_per_tensor,4,1.499
fc2,cublas_per_tensor,5,1.513
fc2,cublas_per_tensor,6,1.528
fc2,cublas_per_tensor,7,1.511
fc2,cublas_per_tensor,8,1.528
fc2,cublas_per_tensor,9,1.524
fc2,cublas_per_tensor,10,1.515
fc2,cublas_per_tensor,11,1.515
fc2,cublas_per_tensor,12,1.515
fc2,cublas_per_tensor,13,1.493
fc2,cublas_per_tensor,14,1.521
fc2,cublas_per_tensor,15,1.517
fc2,cublas_per_tensor,16,1.521
fc2,cublas_per_tensor,17,1.52
fc2,cublas_per_tensor,18,1.497
fc2,cublas_per_tensor,19,1.521
fc2,cublas_gemm,0,1.038
fc2,cublas_gemm,1,1.035
fc2,cublas_gemm,2,1.038
fc2,cublas_gemm,3,1.031
fc2,cublas_gemm,4,1.033
fc2,cublas_gemm,5,1.02
fc2,cublas_gemm,6,1.02
fc2,cublas_gemm,7,1.043
fc2,cublas_gemm,8,1.042
fc2,cublas_gemm,9,1.039
fc2,cublas_gemm,10,1.029
fc2,cublas_gemm,11,1.035
fc2,cublas_gemm,12,1.043
fc2,cublas_gemm,13,1.039
fc2,cublas_gemm,14,1.039
fc2,cublas_gemm,15,1.036
fc2,cublas_gemm,16,1.039
fc2,cublas_gemm,17,1.02
fc2,cublas_gemm,18,1.035
fc2,cublas_gemm,19,1.043
fc2,cutlass_fused,0,1.143
fc2,cutlass_fused,1,1.143
fc2,cutlass_fused,2,1.143
fc2,cutlass_fused,3,1.143
fc2,cutlass_fused,4,1.143
fc2,cutlass_fused,5,1.143
fc2,cutlass_fused,6,1.143
fc2,cutlass_fused,7,1.143
fc2,cutlass_fused,8,1.143
fc2,cutlass_fused,9,1.143
fc2,cutlass_fused,10,1.144
fc2,cutlass_fused,11,1.143
fc2,cutlass_fused,12,1.143
fc2,cutlass_fused,13,1.143
fc2,cutlass_fused,14,1.143
fc2,cutlass_fused,15,1.142
fc2,cutlass_fused,16,1.143
fc2,cutlass_fused,17,1.143
fc2,cutlass_fused,18,1.143
fc2,cutlass_fused,19,1.143
fc2,cutlass_gemm,0,1.144
fc2,cutlass_gemm,1,1.144
fc2,cutlass_gemm,2,1.144
fc2,cutlass_gemm,3,1.144
fc2,cutlass_gemm,4,1.144
fc2,cutlass_gemm,5,1.144
fc2,cutlass_gemm,6,1.144
fc2,cutlass_gemm,7,1.144
fc2,cutlass_gemm,8,1.144
fc2,cutlass_gemm,9,1.144
fc2,cutlass_gemm,10,1.144
fc2,cutlass_gemm,11,1.145
fc2,cutlass_gemm,12,1.144
fc2,cutlass_gemm,13,1.144
fc2,cutlass_gemm,14,1.144
fc2,cutlass_gemm,15,1.144
fc2,cutlass_gemm,16,1.144
fc2,cutlass_gemm,17,1.144
fc2,cutlass_gemm,18,1.144
fc2,cutlass_gemm,19,1.144
