N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,0,32,100,2,1,1,4,4,0,209,0,192.125,0.529,2070.48,OK,-DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,2,1,1,6,4,0,173,0,192.125,0.529,2069.88,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,2,1,1,6,4,1,165,0,192.125,0.529,2069.69,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,2,1,1,8,4,0,209,0,192.125,0.529,2070.42,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,2,1,1,8,0,1,165,0,192.125,0.529,2071.47,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
4,4,2,0,32,100,4,1,1,8,4,1,214,0,192.125,0.529,2068.16,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,0,2,1,1,4,0,0,208,0,192.125,0.53,2064.78,OK,-DSTAGGER_CYCLES=0
4,4,2,0,32,60,2,1,1,4,0,0,209,0,192.125,0.53,2066.83,OK,-DSTAGGER_CYCLES=60
4,4,2,0,32,200,2,1,1,4,0,0,209,0,192.125,0.53,2067.31,OK,-DSTAGGER_CYCLES=200
4,4,2,1,32,0,2,1,1,4,0,0,209,0,192.125,0.53,2066.65,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=0
4,4,2,1,32,40,2,1,1,4,0,0,210,0,192.125,0.53,2067.61,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=40
4,4,2,0,32,100,4,1,0,6,0,1,214,0,192.125,0.53,2065.98,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
4,4,2,0,32,100,4,1,0,8,0,3,255,0,192.125,0.53,2066.75,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
4,4,2,0,32,100,4,1,1,8,4,0,255,0,192.125,0.53,2065.64,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,0,4,4,0,255,0,192.125,0.531,2061.2,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,0,6,0,0,222,0,192.125,0.531,2060.65,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100
4,4,2,0,32,100,4,1,0,6,4,0,222,0,192.125,0.531,2060.9,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,0,6,4,1,214,0,192.125,0.531,2060.34,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,0,6,0,3,222,0,192.125,0.531,2061.59,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
4,4,2,0,32,100,4,1,0,8,4,1,214,0,192.125,0.531,2060.25,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,2,1,1,4,4,3,209,0,192.125,0.531,2063.39,OK,-DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,1,6,0,0,222,0,192.125,0.531,2063.35,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100
4,4,2,0,32,100,4,1,1,6,0,1,214,0,192.125,0.531,2061.98,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
4,4,2,0,32,100,4,1,1,6,4,1,214,0,192.125,0.531,2062.75,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,1,6,0,3,222,0,192.125,0.531,2061.76,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
4,4,2,0,32,100,4,1,1,6,4,3,222,0,192.125,0.531,2063.6,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,1,8,0,0,255,0,192.125,0.531,2063.81,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100
4,4,2,0,32,100,4,1,1,8,0,1,214,0,192.125,0.531,2063.38,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
4,4,2,0,32,100,4,1,1,8,0,3,255,0,192.125,0.531,2061.86,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
4,4,1,0,32,120,2,1,1,4,0,0,206,0,192.125,0.532,2058.01,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120
4,4,1,1,32,60,2,1,1,4,0,0,208,0,192.125,0.532,2057.89,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60
4,4,1,1,32,80,2,1,1,4,0,0,208,0,192.125,0.532,2057.16,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1
4,4,1,1,32,100,2,1,1,4,0,0,208,0,192.125,0.532,2058.51,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,1,1,32,120,2,1,1,4,0,0,208,0,192.125,0.532,2059.53,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120
4,4,2,0,32,100,2,1,0,4,0,1,165,0,192.125,0.532,2057.94,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
4,4,2,0,32,100,4,1,0,4,0,0,255,0,192.125,0.532,2056.96,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100
4,4,2,0,32,100,4,1,0,4,0,3,255,0,192.125,0.532,2056.38,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
4,4,2,0,32,100,4,1,0,4,4,3,255,0,192.125,0.532,2057.07,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,0,6,4,3,222,0,192.125,0.532,2057.87,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,0,8,0,0,255,0,192.125,0.532,2059.36,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100
4,4,2,0,32,100,4,1,0,8,0,1,214,0,192.125,0.532,2058.62,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
4,4,2,0,32,100,4,1,0,8,4,3,255,0,192.125,0.532,2059.92,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
