Kernel: patch_embed (patch_embed.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 5 valid, 1 pruned
Estimated time: ~0 min (5 configs × ~5s each)

[53/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 0.532 ms / 2058 TFLOPS  (208 regs, 1.6s)
[54/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[55/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 ... 0.532 ms / 2057 TFLOPS  (208 regs, 1.6s)
[56/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[57/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 0.532 ms / 2059 TFLOPS  (208 regs, 1.6s)
[58/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[59/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 0.532 ms / 2060 TFLOPS  (208 regs, 1.6s)
[60/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[61/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 0.533 ms / 2056 TFLOPS  (208 regs, 1.6s)
[62/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[63/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 0.533 ms / 2054 TFLOPS  (208 regs, 1.6s)
[64/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[65/128] -DSTAGGER_CYCLES=0 ... 0.530 ms / 2065 TFLOPS  (208 regs, 1.6s)
[66/128] -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[67/128] -DSTAGGER_CYCLES=40 ... 0.528 ms / 2075 TFLOPS  (209 regs, 1.6s)
[68/128] -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[69/128] -DSTAGGER_CYCLES=60 ... 0.530 ms / 2067 TFLOPS  (209 regs, 1.6s)
[70/128] -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[71/128] (defaults) ... 0.528 ms / 2074 TFLOPS  (209 regs, 1.6s)
[72/128] -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[73/128] -DSTAGGER_CYCLES=100 ... 0.527 ms / 2079 TFLOPS  (209 regs, 1.6s)
[74/128] -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[75/128] -DSTAGGER_CYCLES=120 ... 0.527 ms / 2078 TFLOPS  (209 regs, 1.6s)
[76/128] -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[77/128] -DSTAGGER_CYCLES=160 ... 0.527 ms / 2076 TFLOPS  (209 regs, 1.6s)
[78/128] -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[79/128] -DSTAGGER_CYCLES=200 ... 0.530 ms / 2067 TFLOPS  (209 regs, 1.6s)
