N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,BATCH_EPILOGUE,GELU_VECTOR_WIDTH,STORE_TIMING,regs,spills,smem_kb,ms,tflops,status,dflags
5,4,3,1,32,0,4,1,1,5,0,3,2,1,0,0,1,32,0,248,0,225.0,2.615,1674.69,OK,-DBATCH_EPILOGUE=1 -DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPREFETCH_BEFORE_STORE=1 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,3,2,0,0,0,1,32,1,247,0,225.0,2.627,1667.12,OK,-DBATCH_EPILOGUE=1 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSTORE_TIMING=1 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,0,2,1,0,0,1,32,0,248,0,225.0,2.645,1656.04,OK,-DBATCH_EPILOGUE=1 -DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPREFETCH_BEFORE_STORE=1 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0
5,4,3,1,32,0,4,1,1,5,0,3,1,0,0,0,0,32,0,244,0,225.0,2.666,1642.67,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,0,2,1,0,0,0,32,1,246,0,225.0,2.669,1641.19,OK,-DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPREFETCH_BEFORE_STORE=1 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSTORE_TIMING=1
5,4,3,1,32,0,4,1,1,5,0,3,2,0,0,0,1,32,0,248,0,225.0,2.67,1640.23,OK,-DBATCH_EPILOGUE=1 -DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,0,2,0,0,0,1,32,0,248,0,225.0,2.678,1635.86,OK,-DBATCH_EPILOGUE=1 -DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=0
5,4,3,1,32,0,4,1,1,5,0,3,1,1,0,0,1,32,1,247,0,225.0,2.679,1634.87,OK,-DBATCH_EPILOGUE=1 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPREFETCH_BEFORE_STORE=1 -DSTAGGER_CYCLES=0 -DSTORE_TIMING=1 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,0,0,0,0,0,0,32,0,244,0,225.0,2.68,1634.62,OK,-DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=0 -DSTAGGER_CYCLES=0
5,4,3,0,32,100,4,1,1,5,0,0,1,0,0,0,0,32,0,244,0,225.0,2.683,1632.26,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100
