Kernel: fc1_gelu (fc1_gelu.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 ... 3.111 ms / 1408 TFLOPS  (204 regs, 6.9s)
[2/3] (defaults) ... 3.069 ms / 1427 TFLOPS  (242 regs, 5.8s)
[3/3] -DN_STAGES=5 ... 3.042 ms / 1440 TFLOPS  (238 regs, 5.9s)
  η²: N_STAGES=1.000

  Gap: 0.89% → k_eff=2 (from 3)

Tier 1 winner (top-3): -DK_LOOP_UNROLL=5 -DN_STAGES=5 → 3.042 ms / 1440 TFLOPS
  #2: (defaults) → 3.069 ms / 1427 TFLOPS
  #3: -DK_LOOP_UNROLL=3 -DN_STAGES=3 → 3.111 ms / 1408 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
  Branch 1/2: -DN_STAGES=5
Sweep: 128 total, 64 valid, 64 pruned
Estimated time: ~5 min (64 configs × ~5s each)

[40/64] -DN_STAGES=5 -DSTAGGER_CYCLES=200 ... 2.933 ms / 1493 TFLOPS  (238 regs, 5.9s)
[41/64] -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0 ... 3.007 ms / 1457 TFLOPS  (240 regs, 5.9s)
[42/64] -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=40 ... 2.988 ms / 1466 TFLOPS  (240 regs, 6.0s)
[43/64] -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=60 ... 3.009 ms / 1456 TFLOPS  (240 regs, 5.9s)
[44/64] -DMBAR_EARLY=1 -DN_STAGES=5 ... 3.072 ms / 1426 TFLOPS  (240 regs, 5.9s)
[45/64] -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100 ... 3.028 ms / 1446 TFLOPS  (240 regs, 6.0s)
[46/64] -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120 ... 3.018 ms / 1451 TFLOPS  (240 regs, 6.0s)
[47/64] -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 ... 3.031 ms / 1445 TFLOPS  (240 regs, 6.0s)
[48/64] -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200 ... 2.991 ms / 1464 TFLOPS  (240 regs, 6.1s)
[49/64] -DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=0 ... 2.826 ms / 1550 TFLOPS  (242 regs, 5.9s)
[50/64] -DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=40 ... 2.754 ms / 1591 TFLOPS  (240 regs, 6.0s)
[51/64] -DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=60 ... 2.786 ms / 1572 TFLOPS  (240 regs, 6.0s)
[52/64] -DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 ... 2.803 ms / 1563 TFLOPS  (240 regs, 6.0s)
[53/64] -DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=100 ... 2.764 ms / 1585 TFLOPS  (240 regs, 5.9s)
[54/64] -DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=120 ... 2.811 ms / 1558 TFLOPS  (240 regs, 5.9s)
[55/64] -DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=160 ... 2.775 ms / 1578 TFLOPS  (240 regs, 5.8s)
[56/64] -DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=200 ... 2.832 ms / 1547 TFLOPS  (240 regs, 5.9s)
[57/64] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0 ... 2.753 ms / 1591 TFLOPS  (242 regs, 5.9s)
