N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,regs,spills,smem_kb,ms,tflops,status,dflags
5,4,2,0,64,0,2,1,1,4,0,0,1,0,255,0,224.125,1.522,2877.49,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
5,4,2,0,32,120,2,1,1,4,0,0,1,0,255,0,224.125,1.522,2878.04,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=120
5,4,1,0,32,100,2,1,1,4,0,0,1,0,255,0,224.125,1.524,2874.69,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100
5,4,1,0,32,120,2,1,1,4,0,0,1,0,255,0,224.125,1.524,2874.76,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120
5,4,0,1,64,0,2,1,1,4,0,0,1,0,255,0,224.125,1.525,2872.08,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
5,4,0,0,32,200,2,1,1,4,0,0,1,0,255,0,224.125,1.526,2869.98,OK,-DINTERLEAVE_STRATEGY=0 -DN_STAGES=5 -DSTAGGER_CYCLES=200
5,4,1,1,32,100,2,1,1,4,0,0,1,0,255,0,224.125,1.526,2869.97,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100
5,4,1,0,32,80,2,1,1,4,0,0,1,0,255,0,224.125,1.527,2869.3,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5
5,4,2,1,32,200,1,1,0,4,0,1,1,0,177,0,224.125,1.527,2867.58,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=1
5,4,2,0,32,40,2,1,1,4,0,0,1,0,255,0,224.125,1.528,2867.25,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=40
5,4,0,1,32,160,2,1,1,4,0,0,1,0,255,0,224.125,1.529,2863.78,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160
5,4,0,1,64,60,2,1,1,4,0,0,1,0,255,0,224.125,1.53,2861.94,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64
5,4,0,1,64,80,2,1,1,4,0,0,1,0,255,0,224.125,1.53,2862.04,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DTMEM_LOAD_WIDTH=64
5,4,0,1,32,200,2,1,1,4,0,0,1,0,255,0,224.125,1.53,2863.17,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200
5,4,1,0,64,120,2,1,1,4,0,0,1,0,255,0,224.125,1.53,2863.62,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
5,4,1,0,64,200,2,1,1,4,0,0,1,0,255,0,224.125,1.53,2862.31,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
5,4,0,0,64,40,2,1,1,4,0,0,1,0,255,0,224.125,1.531,2860.13,OK,-DINTERLEAVE_STRATEGY=0 -DN_STAGES=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
5,4,2,0,64,40,2,1,1,4,0,0,1,0,255,0,224.125,1.531,2861.68,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
5,4,2,0,32,60,2,1,1,4,0,0,1,0,255,0,224.125,1.531,2860.72,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=60
5,4,2,0,64,200,2,1,1,4,0,0,1,0,255,0,224.125,1.531,2860.09,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
5,4,2,1,32,200,1,1,1,4,0,1,1,0,177,0,224.125,1.531,2861.46,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=1
5,4,0,0,32,0,2,1,1,4,0,0,1,0,255,0,224.125,1.532,2859.65,OK,-DINTERLEAVE_STRATEGY=0 -DN_STAGES=5 -DSTAGGER_CYCLES=0
5,4,0,0,32,160,2,1,1,4,0,0,1,0,255,0,224.125,1.532,2858.52,OK,-DINTERLEAVE_STRATEGY=0 -DN_STAGES=5 -DSTAGGER_CYCLES=160
5,4,0,1,64,120,2,1,1,4,0,0,1,0,255,0,224.125,1.532,2859.65,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
5,4,1,0,64,40,2,1,1,4,0,0,1,0,255,0,224.125,1.532,2859.01,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
5,4,1,0,64,160,2,1,1,4,0,0,1,0,255,0,224.125,1.532,2859.0,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64
5,4,2,1,32,60,2,1,1,4,0,0,1,0,255,0,224.125,1.532,2859.72,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=60
5,4,2,1,32,200,1,0,1,4,0,0,1,0,233,0,224.125,1.532,2859.25,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200
5,4,0,0,64,0,2,1,1,4,0,0,1,0,255,0,224.125,1.533,2857.38,OK,-DINTERLEAVE_STRATEGY=0 -DN_STAGES=5 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
