M	N	K	EPI	rank	status	ms	cyc	algoId	tile	stages	cluster	splitk	swizzle	waves	ws_MB	tile_name
928256	512	4096	0	3	OK	1.0262	1893290	66	513	36	-1	1	0	49.00	0.0	id=513
928256	512	8192	0	1	OK	1.8680	3446876	66	23	36	-1	1	0	98.00	0.0	128x256
928256	512	8192	0	2	OK	1.8843	3476820	66	201	36	-1	1	0	142.57	0.0	176x128
928256	512	8192	0	3	OK	1.9278	3556546	66	513	36	-1	1	0	49.00	0.0	id=513
928256	1024	1024	0	1	OK	0.5876	1084624	66	23	36	-1	1	0	196.00	0.0	128x256
928256	1024	1024	0	2	OK	0.6808	1256433	66	24	36	-1	1	0	196.00	0.0	256x128
928256	1024	1024	0	3	OK	0.7003	1290230	66	513	36	-1	1	0	98.00	0.0	id=513
928256	1024	2048	0	1	OK	0.9659	1782540	66	201	36	-1	1	0	285.14	0.0	176x128
928256	1024	2048	0	2	OK	0.9837	1815336	66	23	36	-1	1	0	196.00	0.0	128x256
928256	1024	2048	0	3	OK	1.0637	1962681	66	184	36	-1	1	0	348.49	0.0	id=184
928256	1024	4096	0	1	OK	1.7884	3299906	66	201	36	-1	1	0	285.14	0.0	176x128
928256	1024	4096	0	2	OK	1.7931	3309005	66	23	36	-1	1	0	196.00	0.0	128x256
928256	1024	4096	0	3	OK	1.9536	3604418	66	184	36	-1	1	0	348.49	0.0	id=184
928256	1024	8192	0	1	OK	3.5466	6543758	66	23	36	-1	1	0	196.00	0.0	128x256
928256	1024	8192	0	2	OK	3.5791	6534816	66	201	36	-1	1	0	285.14	0.0	176x128
928256	1024	8192	0	3	OK	3.7514	6920983	66	513	36	-1	1	0	98.00	0.0	id=513
928256	2048	2048	0	1	OK	1.8532	3419569	66	23	36	-1	1	0	392.00	0.0	128x256
928256	2048	2048	0	2	OK	1.8718	3453873	66	201	36	-1	1	0	570.27	0.0	176x128
928256	2048	2048	0	3	OK	1.9797	3652601	66	32	36	-1	1	0	539.00	0.0	128x192
928256	2048	4096	0	1	OK	3.5255	6505104	66	201	36	-1	1	0	570.27	0.0	176x128
928256	2048	4096	0	2	OK	3.5362	6524967	66	23	36	-1	1	0	392.00	0.0	128x256
928256	2048	4096	0	3	OK	3.7707	6898815	66	32	36	-1	1	0	539.00	0.0	128x192
928256	2048	8192	0	1	OK	6.9920	12901184	66	23	36	-1	1	0	392.00	0.0	128x256
928256	2048	8192	0	2	OK	7.0664	12966678	66	201	36	-1	1	0	570.27	0.0	176x128
928256	2048	8192	0	3	OK	7.4903	13797340	66	32	36	-1	1	0	539.00	0.0	128x192
